Ticker;SimFinId;Currency;"Fiscal Year";"Fiscal Period";"Report Date";"Publish Date";"Restated Date";"Shares (Basic)";"Shares (Diluted)";Revenue;"Cost of Revenue";"Gross Profit";"Operating Expenses";"Selling, General & Administrative";"Research & Development";"Depreciation & Amortization";"Operating Income (Loss)";"Non-Operating Income (Loss)";"Interest Expense, Net";"Pretax Income (Loss), Adj.";"Abnormal Gains (Losses)";"Pretax Income (Loss)";"Income Tax (Expense) Benefit, Net";"Income (Loss) from Continuing Operations";"Net Extraordinary Gains (Losses)";"Net Income";"Net Income (Common)"
CLH;857873;USD;2016;FY;2016-12-31;2017-02-22;2019-02-27;57532000;57532000;2755226000;-1932857000;822369000;-709017000;-422015000;;-287002000;113352000;-77330000;-83525000;36022000;-27306000;8716000;-48589000;-39873000;;-39873000;-39873000
CLH;857873;USD;2017;FY;2017-12-31;2018-02-28;2019-02-27;57072000;57200000;2944978000;-2062673000;882305000;-745070000;-456648000;;-288422000;137235000;-91927000;-85808000;45308000;13381000;58689000;42050000;100739000;;100739000;100739000
CLH;857873;USD;2018;FY;2018-12-31;2019-02-27;2021-02-24;56148000;56340000;3300303000;-2305551000;994752000;-802372000;-503747000;;-298625000;192380000;-85604000;-81094000;106776000;-12294000;94482000;-28846000;65636000;;65636000;65636000
CLH;857873;USD;2019;FY;2019-12-31;2020-02-26;2021-02-24;55845000;56129000;3412190000;-2387819000;1024371000;-784779000;-484054000;;-300725000;239592000;-75773000;-78670000;163819000;-15580000;148239000;-50499000;97740000;;97740000;97740000
CLNE;260313;USD;2015;FY;2015-12-31;2016-03-03;2018-03-13;91607578;91607578;384320000;-258485000;125835000;-167458000;-112239000;;-55219000;-41623000;-93158000;-94970000;-134781000;937000;-133844000;-1614000;-135458000;;-134242000;-134242000
CLNE;260313;USD;2016;FY;2016-12-31;2017-03-07;2018-03-13;119395423;119395423;402656000;-255550000;147106000;-164743000;-105481000;;-59262000;-17637000;-29096000;-28768000;-46733000;34348000;-12385000;-1339000;-13724000;;-12153000;-12153000
CLNE;260313;USD;2017;FY;2017-12-31;2018-04-13;2018-04-13;150430239;150430239;341599000;-242671000;98928000;-152283000;-95669000;;-56614000;-53355000;-16246000;-16254000;-69601000;-13704000;-83305000;1914000;-81391000;;-79237000;-79237000
CLNE;260313;USD;2018;FY;2018-12-31;2019-03-12;2021-03-09;180655435;180655435;346419000;-212924000;133495000;-129057000;-77207000;;-51850000;4438000;-16356000;-13067000;-11918000;3076000;-8842000;-341000;-9183000;;-3790000;-3790000
CLNE;260313;USD;2019;FY;2019-12-31;2020-03-10;2021-03-09;204573287;205987509;344065000;-212107000;131958000;-123069000;-73444000;;-49625000;8889000;-3266000;-5137000;5623000;8494000;14117000;-858000;13259000;;20421000;20421000
CLR;101392;USD;2015;FY;2015-12-31;2016-02-24;2017-02-22;369540000;369540000;2680167000;-549534000;2130633000;-1975652000;-207183000;-19413000;-1749056000;154981000;-311084000;-313079000;-156103000;-378982000;-535085000;181417000;-353668000;;-353668000;-353668000
CLR;101392;USD;2016;FY;2016-12-31;2017-02-22;2017-02-22;370380000;370380000;1980273000;-431677000;1548596000;-1906682000;-180966000;-16972000;-1708744000;-358086000;-344920000;-320562000;-703006000;70552000;-632454000;232775000;-399679000;;-399679000;-399679000
CLR;101392;USD;2017;FY;2017-12-31;2018-02-21;2019-02-19;371066000;373768000;3120828000;-532492000;2588336000;-1895880000;-208586000;-12393000;-1674901000;692456000;-293334000;-294495000;399122000;-243055000;156067000;633380000;789447000;;789447000;789447000
CLR;101392;USD;2018;FY;2018-12-31;2019-02-19;2021-02-16;371854000;374838000;4709586000;-743563000;3966023000;-2263764000;-205208000;-7642000;-1859327000;1702259000;-296918000;-293032000;1405341000;-108539000;1296802000;-307102000;989700000;;988317000;988317000
CLR;101392;USD;2019;FY;2019-12-31;2020-02-26;2021-02-16;370699000;372538000;4631947000;-802637000;3829310000;-2486231000;-228532000;-14667000;-2017383000;1343079000;-270250000;-269379000;1072829000;-85667000;987162000;-212689000;774473000;;775641000;775641000
CLRB;99062;USD;2015;FY;2015-12-31;2016-10-20;2017-03-15;78198;78198;;;;-8554234;-3395360;-5158874;;-8554234;-841;-841;-8555075;3060045;-5495030;;-5495030;;-5495030;-5495030
CLRB;99062;USD;2016;FY;2016-12-31;2017-03-15;2018-03-21;453656;453656;;;;-9449752;-4699338;-4750414;;-9449752;7897;7897;-9441855;3261529;-6180326;;-6180326;;-6180326;-9360307
CLRB;99062;USD;2017;FY;2017-12-31;2018-03-21;2018-03-21;1403133;1403133;;;;-13600970;-4135304;-9465666;;-13600970;16605;16605;-13584365;22075;-13562290;;-13562290;;-13562290;-15011235
CLRB;99062;USD;2018;FY;2018-12-31;2019-02-26;2019-02-26;2961972;2961972;;;;-11655302;-4820073;-6835229;;-11655302;29687;29687;-11625615;-1613412;-13239027;;-13239027;;-13239027;-15480822
CLRB;99062;USD;2019;FY;2019-12-31;2020-03-09;2021-03-02;7675092;7675092;;;;-14178624;-5182566;-8996058;;-14178624;42712;42712;-14135912;43000;-14092912;;-14092912;;-14092912;-14092912
CLX;218764;USD;2016;FY;2016-06-30;2016-09-30;2017-08-15;129472000;131717000;5761000000;-3163000000;2598000000;-1527000000;-1393000000;-141000000;;1071000000;-88000000;-88000000;983000000;;983000000;-335000000;648000000;;648000000;648000000
CLX;218764;USD;2017;FY;2017-06-30;2017-08-15;2017-08-15;128953000;131566000;5973000000;-3302000000;2671000000;-1550000000;-1409000000;-135000000;;1121000000;-88000000;-88000000;1033000000;;1033000000;-330000000;703000000;-2000000;701000000;701000000
CLX;218764;USD;2018;FY;2018-06-30;2018-08-14;2018-08-14;129293000;131581000;6124000000;-3449000000;2675000000;-1536000000;-1407000000;-132000000;;1139000000;-85000000;-85000000;1054000000;;1054000000;-231000000;823000000;;823000000;823000000
CLX;218764;USD;2019;FY;2019-06-30;2019-08-14;2021-08-10;127734000;129792000;6214000000;-3486000000;2728000000;-1604000000;-856000000;-136000000;;1124000000;-100000000;-97000000;1024000000;;1024000000;-204000000;820000000;;820000000;820000000
CLX;218764;USD;2020;FY;2020-06-30;2020-08-13;2021-08-10;125828000;127671000;6721000000;-3658000000;3063000000;-1789000000;-969000000;-145000000;;1274000000;-89000000;-99000000;1185000000;;1185000000;-246000000;939000000;;939000000;939000000
CMBG;778513;USD;2015;FY;2015-12-31;2016-03-14;2018-03-05;11472306;11472306;2505423;-1880331;625092;-21350634;-13777406;-7573228;;-20725542;672648;42220;-20052894;-123428;-20176322;728601;-19447721;;-19447721;-19447721
CMBG;778513;USD;2016;FY;2016-12-31;2017-03-14;2019-02-19;13507408;13507408;627930;-860417;-232487;-23571133;-12095546;-11475587;;-23803620;211051;78943;-23592569;-4611714;-28204283;-4093;-28208376;;-28208376;-28208376
CMBG;778513;USD;2017;FY;2017-12-31;2018-03-05;2019-02-19;14345604;14345604;336817;-162218;174599;-27751166;-13141249;-14609917;;-27576567;2088707;133621;-25487860;0;-25487860;-2450;-25490310;;-25490310;-25490310
CMBG;778513;USD;2018;FY;2018-12-31;2019-02-19;2019-02-19;17741104;17741104;224403;-135761;88642;-37680067;-13529587;-24150480;;-37591425;1565207;392328;-36026218;-2914320;-38940538;-4954;-38945492;;-38945492;-38945492
CMBG;778513;USD;2019;FY;2019-12-31;2020-02-28;2020-02-28;18983206;18983206;339920;-62378;277542;-51269726;-13599748;-37669978;;-50992184;1009175;809785;-49983009;0;-49983009;-1045;-49984054;;-49984054;-49984054
CMBM;998419;USD;2018;FY;2018-12-31;2019-02-12;2021-03-01;13600411;13600411;241762000;-126267000;115495000;-109144000;-61462000;-38917000;-8765000;6351000;-8663000;-8113000;-2312000;;-2312000;799000;-1513000;;-1513000;-1513000
CMBM;998419;USD;2019;FY;2019-12-31;2020-02-12;2021-03-01;19741764;19741764;267028000;-135799000;131229000;-129928000;-76378000;-47692000;-5858000;1301000;-8622000;-8076000;-7321000;;-7321000;-10280000;-17601000;;-17601000;-17601000
CMC;980334;USD;2016;FY;2016-08-31;2016-10-31;2018-10-25;115211490;116623826;3596068000;-3021862000;574206000;-383748000;-383748000;;;190458000;-62973000;-62973000;127485000;-51508000;75977000;-13976000;62001000;-7239000;54762000;54762000
CMC;980334;USD;2017;FY;2017-08-31;2017-10-26;2019-10-23;115654466;117364408;3844069000;-3322711000;521358000;-387354000;-387354000;;;134004000;-44151000;-44151000;89853000;-24402000;65451000;-15276000;50175000;-3843000;46332000;46332000
CMC;980334;USD;2018;FY;2018-08-31;2018-10-25;2020-10-15;116822583;118145848;4643723000;-4021558000;622165000;-401452000;-401452000;;;220713000;-40957000;-40957000;179756000;-14372000;165384000;-30147000;135237000;3269000;138506000;138506000
CMC;980334;USD;2019;FY;2019-08-31;2019-11-01;2021-10-14;117834558;119124628;5829002000;-5025514000;803488000;-463271000;-463271000;;;340217000;-71373000;-71373000;268844000;-384000;268460000;-69681000;198779000;-686000;198093000;198093000
CMC;980334;USD;2020;FY;2020-08-31;2020-10-15;2021-10-14;118921854;120309621;5476486000;-4531688000;944798000;-502794000;-502794000;;;442004000;-61837000;-61837000;380167000;-9389000;370778000;-92476000;278302000;1201000;279503000;279503000
CMCO;899253;USD;2015;FY;2016-03-31;2016-06-01;2018-05-30;20079000;20315000;597103000;-409840000;187263000;-146693000;-134276000;-7393000;-5024000;40570000;-9742000;-7904000;30828000;796000;31624000;-12045000;19579000;;19579000;19579000
CMCO;899253;USD;2016;FY;2017-03-31;2017-05-31;2018-05-30;20591000;20888000;637123000;-444191000;192932000;-165834000;-147247000;-10482000;-8105000;27098000;-12105000;-10966000;14993000;-1966000;13027000;-4043000;8984000;;8984000;8984000
CMCO;899253;USD;2017;FY;2018-03-31;2018-05-30;2018-05-30;22841000;23335000;839419000;-554845000;284574000;-214475000;-185306000;-13617000;-15552000;70099000;-20571000;-19733000;49528000;157000;49685000;-27620000;22065000;;22065000;22065000
CMCO;899253;USD;2018;FY;2019-03-31;2019-05-29;2021-05-26;23276000;23660000;876282000;-571285000;304997000;-209883000;-181492000;-13491000;-14900000;95114000;-16544000;-17144000;78570000;-25672000;52898000;-10321000;42577000;;42577000;42577000
CMCO;899253;USD;2019;FY;2020-03-31;2020-05-27;2021-05-26;23619000;23855000;809162000;-525976000;283186000;-193186000;-168934000;-11310000;-12942000;90000000;-12668000;-14234000;77332000;-176000;77156000;-17484000;59672000;;59672000;59672000
CMCSA;106366;USD;2015;FY;2015-12-31;2016-02-05;2018-01-31;4972000000;5036000000;74510000000;-22550000000;51960000000;-35962000000;-27282000000;;-8680000000;15998000000;-2626000000;-2702000000;13372000000;;13372000000;-4959000000;8413000000;;8163000000;8163000000
CMCSA;106366;USD;2016;FY;2016-12-31;2017-02-03;2019-01-31;4820000000;4876000000;80736000000;-24348000000;56388000000;-39557000000;-30131000000;;-9426000000;16831000000;-2505000000;-2942000000;14326000000;;14326000000;-5298000000;9028000000;;8678000000;8678000000
CMCSA;106366;USD;2017;FY;2017-12-31;2018-01-31;2019-01-31;4708000000;4786000000;85029000000;-25355000000;59674000000;-41656000000;-31968000000;;-10130000000;18018000000;-2665000000;-3086000000;15353000000;;15353000000;7569000000;22922000000;;22735000000;22735000000
CMCSA;106366;USD;2018;FY;2018-12-31;2019-01-31;2021-02-04;4584000000;4640000000;94507000000;-29692000000;64815000000;-45806000000;-35130000000;;-11017000000;19009000000;-3767000000;-3542000000;15242000000;;15242000000;-3380000000;11862000000;;11731000000;11731000000
CMCSA;106366;USD;2019;FY;2019-12-31;2020-01-30;2021-02-04;4548000000;4610000000;108942000000;-34440000000;74502000000;-53377000000;-40424000000;;-12953000000;21125000000;-4129000000;-4567000000;16996000000;;16996000000;-3673000000;13323000000;;13057000000;13057000000
CMD;52478;USD;2016;FY;2016-07-31;2016-09-29;2017-09-28;41344013;41390194;664755000;-355569000;309186000;-211935000;-196525000;-15410000;;97251000;-3320000;-3320000;93931000;0;93931000;-33978000;59953000;;59953000;59953000
CMD;52478;USD;2017;FY;2017-07-31;2017-09-28;2017-09-28;41468487;41542765;770157000;-402997000;367160000;-256750000;-238383000;-18367000;;110410000;-4177000;-4303000;106233000;0;106233000;-34855000;71378000;;71378000;71378000
CMD;52478;USD;2018;FY;2018-07-31;2018-09-27;2020-09-25;41567722;41635078;871922000;-457951000;413971000;-292307000;-267661000;-24646000;;121664000;-4151000;-5289000;117513000;;117513000;-26472000;91041000;;91041000;91041000
CMD;52478;USD;2019;FY;2019-07-31;2019-09-25;2020-09-25;41700926;41757116;918155000;-490701000;427454000;-343935000;-312615000;-31320000;;83519000;-8200000;-9505000;75319000;;75319000;-20277000;55042000;;55042000;55042000
CMD;52478;USD;2020;FY;2020-07-31;2020-09-25;2020-09-25;42266677;42327535;1016048000;-580075000;435973000;-387666000;-355294000;-32372000;;48307000;-41355000;-41355000;6952000;;6952000;6756000;13708000;;13708000;13708000
CME;378116;USD;2015;FY;2015-12-31;2016-02-26;2018-03-01;336224000;337894000;3326800000;-985100000;2341700000;-353000000;;;-228600000;1988700000;-30100000;-117400000;1958600000;-1800000;1956800000;-709800000;1247000000;;1247000000;1247000000
CME;378116;USD;2016;FY;2016-12-31;2017-02-27;2019-02-28;337496000;338966000;3595200000;-921000000;2674200000;-473700000;;;-225300000;2200500000;87100000;-123500000;2287600000;;2287600000;-753500000;1534100000;;1534100000;1534100000
CME;378116;USD;2017;FY;2017-12-31;2018-03-01;2019-02-28;338707000;340226000;3644700000;-929400000;2715300000;-404700000;;;-208500000;2310600000;215700000;-117000000;2526300000;;2526300000;1537100000;4063400000;;4063400000;4063400000
CME;378116;USD;2018;FY;2018-12-31;2019-02-28;2021-02-26;342344000;343737000;4309400000;-1126100000;3183300000;-575700000;;;-248700000;2607600000;170200000;-157700000;2777800000;;2777800000;-814100000;1963700000;;1962200000;1962200000
CME;378116;USD;2019;FY;2019-12-31;2020-02-28;2021-02-26;357155000;358239000;4868000000;-1446500000;3421500000;-833700000;;;-473300000;2587800000;101800000;-178000000;2689600000;;2689600000;-573800000;2115800000;;2116500000;2116500000
CMG;80874;USD;2015;FY;2015-12-31;2016-02-05;2017-02-07;31092000;31494000;4501223000;-2811973000;1689250000;-912467000;-250214000;;-130368000;776783000;6278000;;783061000;-13194000;769867000;-294265000;475602000;;475602000;475602000
CMG;80874;USD;2016;FY;2016-12-31;2017-02-07;2017-02-07;29265000;29770000;3904384000;-2764217000;1140167000;-1081723000;-276240000;;-146368000;58444000;4172000;;62616000;-23877000;38739000;-15801000;22938000;;22938000;22938000
CMG;80874;USD;2017;FY;2017-12-31;2018-02-08;2018-02-08;28491000;28561000;4476412000;-3068552000;1407860000;-1123721000;-296388000;;-163348000;284139000;4949000;;289088000;-13345000;275743000;-99490000;176253000;;176253000;176253000
CMG;80874;USD;2018;FY;2018-12-31;2019-02-08;2021-02-10;27823000;27962000;4864985000;-3273962000;1591023000;-1266016000;-375460000;;-201979000;325007000;10068000;;335075000;-66639000;268436000;-91883000;176553000;;176553000;176553000
CMG;80874;USD;2019;FY;2019-12-31;2020-02-05;2021-02-10;27740000;28295000;5586369000;-3683048000;1903321000;-1436269000;-451552000;;-212778000;467052000;14327000;;481379000;-23094000;458285000;-108127000;350158000;;350158000;350158000
CMI;120498;USD;2015;FY;2015-12-31;2016-02-12;2017-02-13;178037581;178406828;19110000000;-14163000000;4947000000;-2844000000;-2092000000;-735000000;;2103000000;283000000;-41000000;2386000000;-361000000;2025000000;-555000000;1470000000;;1399000000;1399000000
CMI;120498;USD;2016;FY;2016-12-31;2017-02-13;2019-02-11;169038410;169336616;17509000000;-13051000000;4458000000;-2741000000;-2099000000;-637000000;;1717000000;351000000;-46000000;2068000000;-138000000;1930000000;-474000000;1456000000;;1394000000;1394000000
CMI;120498;USD;2017;FY;2017-12-31;2018-02-14;2019-02-11;166625320;167270865;20428000000;-15328000000;5100000000;-3118000000;-2429000000;-754000000;;1982000000;388000000;-63000000;2370000000;-5000000;2365000000;-1371000000;994000000;;999000000;999000000
CMI;120498;USD;2018;FY;2018-12-31;2019-02-11;2021-02-10;162172831;162773347;23771000000;-18034000000;5737000000;-3345000000;-2437000000;-902000000;;2392000000;361000000;-114000000;2753000000;;2753000000;-566000000;2187000000;;2141000000;2141000000
CMI;120498;USD;2019;FY;2019-12-31;2020-02-11;2021-02-10;155400000;156100000;23571000000;-17591000000;5980000000;-3491000000;-2454000000;-1001000000;;2489000000;464000000;-109000000;2953000000;-119000000;2834000000;-566000000;2268000000;;2260000000;2260000000
CMLS;659310;USD;2015;FY;2015-12-31;2016-03-10;2018-03-29;29176930;29176930;1168679000;-479958000;688721000;-579432000;-477327000;;-102105000;109289000;-127041000;-141246000;-17752000;-574582000;-592334000;45840000;-546494000;;-546494000;-546494000
CMLS;659310;USD;2016;FY;2016-12-31;2017-03-16;2019-03-18;29270455;29270455;1141400000;-485049000;656351000;-555870000;-468603000;;-87267000;100481000;-136102000;-138141000;-35621000;-501253000;-536874000;26154000;-510720000;;-510720000;-510720000
CMLS;659310;USD;2017;FY;2017-12-31;2018-04-30;2020-02-21;29306374;29306374;453924000;-182863000;271061000;-217324000;-195278000;;-22046000;53737000;-483000;-210000;53254000;466043000;519297000;176859000;696156000;;696156000;696156000
CMLS;659310;USD;2018;FY;2018-12-31;2019-02-08;2020-02-21;20047342;20209000;686436000;-273073000;413363000;-310611000;-276551000;;-34060000;102752000;-53778000;-50682000;48974000;98000;49072000;12353000;61425000;;61425000;61425000
CMLS;659310;USD;2019;FY;2019-12-31;2020-02-10;2021-02-23;20131000;20284000;1113445000;-467141000;646304000;-513772000;-461218000;;-52554000;132532000;-83068000;-82891000;49464000;34056000;83520000;-22263000;61257000;;61257000;61257000
CMP;638470;USD;2015;FY;2015-12-31;2016-02-22;2018-02-27;33677000;33692000;1098700000;-768600000;330100000;-108700000;-108700000;;;221400000;-6900000;-21500000;214500000;0;214500000;-55300000;159200000;;159200000;159200000
CMP;638470;USD;2016;FY;2016-12-31;2017-03-01;2019-03-01;33776000;33780000;1138000000;-838500000;299500000;-124900000;-124900000;;;174600000;-35200000;-34100000;139400000;57900000;197300000;-34600000;162700000;;162700000;162700000
CMP;638470;USD;2017;FY;2017-12-31;2018-02-27;2019-03-01;33819000;33820000;1364400000;-1037800000;326600000;-167400000;-167400000;;;159200000;-57300000;-52900000;101900000;800000;102700000;-60000000;42700000;;42700000;42700000
CMP;638470;USD;2018;FY;2018-12-31;2019-03-01;2021-02-26;33848000;33848000;1493600000;-1199700000;293900000;-163600000;-163600000;;;130300000;-58500000;-62500000;71800000;5800000;77600000;-8800000;68800000;;68800000;68800000
CMP;638470;USD;2019;FY;2019-12-31;2020-02-26;2021-11-30;33882000;33882000;1085100000;-852600000;232500000;-112900000;-112900000;;;119600000;-70200000;-58300000;49400000;;49400000;-9100000;40300000;20500000;60800000;60800000
CMPR;889944;USD;2016;FY;2016-06-30;2016-08-12;2018-08-10;31656234;33049454;1788044000;-773640000;1014404000;-904989000;-654346000;-210080000;-40563000;109415000;-12098000;-38196000;97317000;-31222000;66095000;-15684000;50411000;;54349000;54349000
CMPR;889944;USD;2017;FY;2017-06-30;2017-08-11;2018-08-10;31291581;31291581;2135405000;-1036975000;1098430000;-1107876000;-818501000;-243230000;-46145000;-9446000;-33615000;-43977000;-43061000;-36256000;-79317000;7118000;-72199000;;-71711000;-71711000
CMPR;889944;USD;2018;FY;2018-06-30;2018-08-10;2018-08-10;30948081;32220401;2592541000;-1279799000;1312742000;-1187251000;-891612000;-245758000;-49881000;125491000;-74075000;-53043000;51416000;14950000;66366000;-19578000;46788000;;43733000;43733000
CMPR;889944;USD;2019;FY;2019-06-30;2019-08-09;2021-08-06;30786349;31662705;2751076000;-1401344000;1349732000;-1166568000;-876515000;-236797000;-53256000;183164000;-36695000;-63171000;146469000;-19557000;126912000;-33432000;93480000;;95052000;95052000
CMPR;889944;USD;2020;FY;2020-06-30;2020-08-11;2021-08-06;27180744;27773286;2481358000;-1248871000;1232487000;-1062133000;-757095000;-253252000;-51786000;170354000;-52966000;-75840000;117388000;-114385000;3003000;80992000;83995000;;83365000;83365000
CMRO;692525;USD;2015;FY;2016-01-31;2016-05-31;2017-05-01;14652000;14652000;0;0;;-1376000;-1376000;;;-1376000;30000;;-1346000;;-1346000;0;-1346000;;-1346000;-1346000
CMRO;692525;USD;2016;FY;2017-01-31;2017-05-31;2017-05-31;14615000;14617000;0;472000;472000;-1331000;-1331000;;;-859000;1709000;;850000;;850000;-5000;845000;;845000;845000
CMS;378117;USD;2015;FY;2015-12-31;2016-02-11;2018-02-14;276500000;276500000;6456000000;-3043000000;3413000000;-2235000000;;;-750000000;1178000000;-392000000;-384000000;786000000;10000000;796000000;-271000000;525000000;;523000000;523000000
